LidoSRv3.Audit.Source.SszWordBytes.actual_word_bytes: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszWordBytes.actual_word_decode: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszWordBytes.actual_memory_decode: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataStep.actual_sibling: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataStep.prepared_memory: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataStep.prepared_call: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataStep.layout_continue: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataStep.sourceStep_success: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataStep.sourceStep_extra: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataStep.decode_width: [propext, Quot.sound]
