LidoSRv3.Audit.Source.SszProofLoopResources.call_admitted: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofLoopResources.call_observations: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofLoopResources.returned_gas: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofLoopResources.call_resource: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofLoopResources.step_resources: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataLoop.step_complete: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataLoop.loop_refines: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataLoop.verify_success_iff: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataLoop.decoded_branch_budget: [propext, Classical.choice, Quot.sound]
LidoSRv3.Audit.Source.SszProofCalldataLoop.verify_empty: [propext, Classical.choice, Quot.sound]
